Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,1480.000000,1484.829956,1476.510010,1479.459961,1479.459961,27268200
2019-10-10,1480.709961,1491.569946,1480.709961,1485.359985,1485.359985,32172500
2019-10-11,1486.959961,1525.829956,1486.959961,1511.900024,1511.900024,35804600
2019-10-14,1507.329956,1508.619995,1499.979980,1505.430054,1505.430054,25570200
2019-10-15,1508.540039,1528.420044,1507.800049,1523.300049,1523.300049,33407400
2019-10-16,1521.479980,1529.599976,1520.410034,1525.060059,1525.060059,32225700
2019-10-17,1530.180054,1542.660034,1530.180054,1541.839966,1541.839966,31159600
2019-10-18,1539.239990,1540.719971,1525.469971,1535.479980,1535.479980,32642900
2019-10-21,1541.729980,1557.020020,1541.729980,1552.410034,1552.410034,32716200
2019-10-22,1550.770020,1557.890015,1547.310059,1550.869995,1550.869995,35238900
2019-10-23,1550.589966,1554.680054,1545.890015,1552.859985,1552.859985,33928700
2019-10-24,1556.599976,1557.329956,1544.890015,1548.489990,1548.489990,36926000
2019-10-25,1548.989990,1562.560059,1547.780029,1558.709961,1558.709961,33703700
2019-10-28,1563.500000,1576.989990,1563.500000,1571.930054,1571.930054,35212300
2019-10-29,1571.760010,1581.130005,1569.459961,1577.069946,1577.069946,35899300
2019-10-30,1575.609985,1575.609985,1562.050049,1572.849976,1572.849976,37760300
2019-10-31,1570.189941,1570.479980,1552.869995,1562.449951,1562.449951,41392800
2019-11-01,1569.199951,1589.329956,1569.199951,1589.329956,1589.329956,39302000
2019-11-04,1597.099976,1602.060059,1593.739990,1597.400024,1597.400024,41468500
2019-11-05,1598.939941,1608.800049,1597.930054,1599.609985,1599.609985,44861300
2019-11-06,1598.420044,1598.420044,1587.020020,1589.540039,1589.540039,44581900
2019-11-07,1598.250000,1607.410034,1590.329956,1593.989990,1593.989990,41446400
2019-11-08,1590.959961,1598.930054,1587.500000,1598.859985,1598.859985,34991500
2019-11-11,1592.750000,1595.439941,1588.310059,1594.770020,1594.770020,30355300
2019-11-12,1595.619995,1604.640015,1593.410034,1595.119995,1595.119995,34660100
2019-11-13,1588.290039,1591.849976,1581.060059,1589.180054,1589.180054,35092800
2019-11-14,1587.349976,1594.709961,1586.680054,1588.790039,1588.790039,32760700
2019-11-15,1594.060059,1598.199951,1591.040039,1596.449951,1596.449951,33356500
2019-11-18,1594.109985,1594.109985,1588.550049,1592.339966,1592.339966,34366900
2019-11-19,1594.959961,1602.959961,1592.040039,1598.290039,1598.290039,35900700
2019-11-20,1593.439941,1602.709961,1581.979980,1591.609985,1591.609985,40348900
2019-11-21,1594.099976,1595.609985,1581.040039,1583.959961,1583.959961,37205600
2019-11-22,1588.890015,1591.310059,1581.810059,1588.939941,1588.939941,32267800
2019-11-25,1594.489990,1623.989990,1594.489990,1621.900024,1621.900024,35115300
2019-11-26,1621.900024,1630.280029,1619.949951,1624.229980,1624.229980,45955900
2019-11-27,1626.800049,1634.770020,1626.800049,1634.099976,1634.099976,30330900
2019-11-29,1630.160034,1633.589966,1623.920044,1624.500000,1624.500000,17430200
2019-12-02,1626.560059,1627.339966,1606.630005,1607.579956,1607.579956,32687400
2019-12-03,1602.760010,1603.079956,1589.729980,1602.630005,1602.630005,36533900
2019-12-04,1607.680054,1618.380005,1607.680054,1613.900024,1613.900024,36950300
2019-12-05,1617.170044,1620.839966,1611.800049,1614.829956,1614.829956,33557500
2019-12-06,1620.920044,1637.900024,1620.920044,1633.839966,1633.839966,34794800
2019-12-09,1631.469971,1636.439941,1629.619995,1629.619995,1629.619995,33459900
2019-12-10,1629.099976,1633.739990,1626.369995,1631.709961,1631.709961,33437900
2019-12-11,1633.430054,1634.430054,1626.739990,1631.930054,1631.930054,32525400
2019-12-12,1631.800049,1654.069946,1629.859985,1644.810059,1644.810059,39906900
2019-12-13,1643.829956,1650.189941,1632.650024,1637.979980,1637.979980,37368700
2019-12-16,1647.199951,1658.619995,1647.199951,1649.939941,1649.939941,40517900
2019-12-17,1650.589966,1657.699951,1649.630005,1657.560059,1657.560059,38375400
2019-12-18,1660.489990,1663.390015,1654.729980,1661.729980,1661.729980,40140800
2019-12-19,1662.520020,1667.229980,1660.619995,1667.089966,1667.089966,37204500
2019-12-20,1670.599976,1674.430054,1668.859985,1671.900024,1671.900024,64542700
2019-12-23,1673.979980,1675.310059,1666.189941,1674.140015,1674.140015,30606100
2019-12-24,1676.229980,1678.089966,1673.739990,1678.010010,1678.010010,12965400
2019-12-26,1680.219971,1680.359985,1675.099976,1677.670044,1677.670044,21606800
2019-12-27,1681.250000,1681.680054,1666.430054,1669.030029,1669.030029,24286700
2019-12-30,1669.880005,1670.219971,1658.050049,1664.150024,1664.150024,30132900
2019-12-31,1660.050049,1673.339966,1659.829956,1668.469971,1668.469971,28938100
2020-01-02,1675.900024,1678.140015,1653.520020,1666.770020,1666.770020,34582500
2020-01-03,1655.020020,1664.040039,1648.540039,1660.869995,1660.869995,34612900
2020-01-06,1650.660034,1664.849976,1645.510010,1663.260010,1663.260010,36740700
2020-01-07,1659.729980,1662.099976,1653.329956,1658.310059,1658.310059,34203800
2020-01-08,1658.469971,1669.290039,1658.229980,1663.589966,1663.589966,37208900
2020-01-09,1669.859985,1671.819946,1663.780029,1664.989990,1664.989990,36383900
2020-01-10,1665.469971,1666.750000,1654.010010,1657.640015,1657.640015,32129700
2020-01-13,1658.979980,1669.609985,1652.319946,1669.609985,1669.609985,34563800
2020-01-14,1668.390015,1684.339966,1662.859985,1675.739990,1675.739990,36651300
2020-01-15,1673.689941,1688.119995,1673.400024,1682.400024,1682.400024,37168400
2020-01-16,1691.819946,1706.170044,1691.819946,1705.219971,1705.219971,35350800
2020-01-17,1712.930054,1715.079956,1697.689941,1699.640015,1699.640015,36981700
2020-01-21,1695.449951,1695.449951,1684.260010,1685.900024,1685.900024,41053400
2020-01-22,1691.069946,1694.369995,1682.939941,1684.459961,1684.459961,36198500
2020-01-23,1680.540039,1687.849976,1666.469971,1685.010010,1685.010010,37648600
2020-01-24,1687.810059,1689.150024,1653.189941,1662.229980,1662.229980,37071300
2020-01-27,1660.819946,1660.819946,1632.260010,1644.140015,1644.140015,38231000
2020-01-28,1651.130005,1661.189941,1651.130005,1658.310059,1658.310059,35267200
2020-01-29,1661.079956,1663.770020,1649.000000,1649.219971,1649.219971,35845000
2020-01-30,1641.469971,1648.430054,1630.939941,1648.219971,1648.219971,37872500
2020-01-31,1643.689941,1643.689941,1610.640015,1614.060059,1614.060059,45278300
2020-02-03,1618.800049,1636.880005,1618.800049,1632.209961,1632.209961,37579100
2020-02-04,1644.420044,1661.000000,1644.420044,1656.770020,1656.770020,39953200
2020-02-05,1667.949951,1682.959961,1667.380005,1681.920044,1681.920044,41177300
2020-02-06,1685.439941,1689.170044,1677.290039,1677.459961,1677.459961,38683700
2020-02-07,1673.530029,1673.530029,1654.310059,1656.780029,1656.780029,37306500
2020-02-10,1654.920044,1667.699951,1653.670044,1667.670044,1667.670044,34503500
2020-02-11,1674.500000,1686.010010,1674.000000,1677.510010,1677.510010,37605500
2020-02-12,1684.390015,1690.060059,1683.020020,1689.380005,1689.380005,39263800
2020-02-13,1684.579956,1696.540039,1680.380005,1693.739990,1693.739990,34982400
2020-02-14,1694.869995,1695.170044,1683.469971,1687.579956,1687.579956,33980400
2020-02-18,1686.030029,1687.380005,1674.599976,1683.520020,1683.520020,37467200
2020-02-19,1685.329956,1698.160034,1685.329956,1692.569946,1692.569946,36001500
2020-02-20,1689.420044,1698.910034,1677.619995,1696.069946,1696.069946,40073200
2020-02-21,1694.729980,1694.729980,1673.199951,1678.609985,1678.609985,38992700
2020-02-24,1676.650024,1676.650024,1620.140015,1628.099976,1628.099976,48429600
2020-02-25,1630.869995,1633.109985,1568.969971,1571.900024,1571.900024,55915100
2020-02-26,1572.270020,1588.319946,1551.390015,1552.760010,1552.760010,54781100
2020-02-27,1545.250000,1553.979980,1495.890015,1497.869995,1497.869995,70588400
2020-02-28,1496.829956,1496.829956,1448.209961,1476.430054,1476.430054,85638500
2020-03-02,1476.589966,1518.510010,1463.060059,1518.489990,1518.489990,63764000
2020-03-03,1518.520020,1539.739990,1472.739990,1486.079956,1486.079956,63559400
2020-03-04,1500.150024,1531.199951,1494.579956,1531.199951,1531.199951,50354800
2020-03-05,1522.849976,1522.849976,1462.920044,1478.819946,1478.819946,55755500
2020-03-06,1476.630005,1476.630005,1417.270020,1449.219971,1449.219971,65521400
2020-03-09,1396.239990,1396.239990,1310.760010,1313.439941,1313.439941,84230500
2020-03-10,1329.880005,1351.479980,1288.930054,1350.900024,1350.900024,76359600
2020-03-11,1349.239990,1349.239990,1249.280029,1264.300049,1264.300049,73741100
2020-03-12,1253.869995,1253.869995,1121.719971,1122.930054,1122.930054,88293800
2020-03-13,1153.760010,1210.130005,1109.390015,1210.130005,1210.130005,82586700
2020-03-16,1174.969971,1174.969971,1035.189941,1037.420044,1037.420044,77815400
2020-03-17,1043.869995,1106.680054,1011.950012,1106.510010,1106.510010,83585000
2020-03-18,1057.650024,1062.880005,966.219971,991.159973,991.159973,87557800
2020-03-19,988.710022,1069.150024,968.859985,1058.750000,1058.750000,79467100
2020-03-20,1064.719971,1087.719971,1009.530029,1013.890015,1013.890015,90446900
2020-03-23,1014.080017,1017.890015,966.419983,1002.400024,1002.400024,74021800
2020-03-24,1041.069946,1096.540039,1041.069946,1096.540039,1096.540039,75473500
2020-03-25,1100.140015,1146.810059,1075.849976,1110.369995,1110.369995,82856700
2020-03-26,1116.300049,1180.319946,1116.300049,1180.319946,1180.319946,77531600
2020-03-27,1163.920044,1163.920044,1125.680054,1131.989990,1131.989990,61943300
2020-03-30,1134.140015,1158.640015,1119.949951,1158.319946,1158.319946,57462200
2020-03-31,1155.680054,1164.630005,1130.339966,1153.099976,1153.099976,65682900
2020-04-01,1127.729980,1127.729980,1064.599976,1071.989990,1071.989990,59479000
2020-04-02,1071.459961,1102.359985,1055.599976,1085.810059,1085.810059,64549900
2020-04-03,1082.900024,1082.900024,1035.390015,1052.050049,1052.050049,60871900
2020-04-06,1085.880005,1139.930054,1085.880005,1138.780029,1138.780029,63918600
2020-04-07,1158.170044,1190.979980,1133.550049,1139.170044,1139.170044,70407200
2020-04-08,1151.010010,1197.170044,1147.260010,1191.660034,1191.660034,58563700
2020-04-09,1212.660034,1250.130005,1212.660034,1246.729980,1246.729980,78801400
2020-04-13,1240.910034,1240.939941,1200.920044,1212.040039,1212.040039,52743100
2020-04-14,1232.319946,1251.880005,1224.150024,1237.329956,1237.329956,55674000
2020-04-15,1221.709961,1221.709961,1176.030029,1183.979980,1183.979980,52033900
2020-04-16,1185.099976,1187.839966,1154.520020,1178.089966,1178.089966,51799900
2020-04-17,1191.849976,1231.930054,1191.849976,1229.099976,1229.099976,57921400
2020-04-20,1220.630005,1233.859985,1202.219971,1213.349976,1213.349976,52201600
2020-04-21,1192.219971,1195.880005,1173.910034,1185.089966,1185.089966,50758300
2020-04-22,1203.010010,1213.339966,1196.540039,1201.520020,1201.520020,50496600
2020-04-23,1203.660034,1232.589966,1203.660034,1214.060059,1214.060059,57565200
2020-04-24,1216.680054,1238.310059,1210.619995,1233.050049,1233.050049,53744800
2020-04-27,1243.469971,1289.180054,1243.469971,1281.880005,1281.880005,51942600
2020-04-28,1301.219971,1316.709961,1282.770020,1298.079956,1298.079956,56728800
2020-04-29,1314.040039,1373.390015,1314.040039,1360.760010,1360.760010,66201400
2020-04-30,1354.800049,1354.800049,1310.449951,1310.660034,1310.660034,65231200
2020-05-01,1280.579956,1281.079956,1241.910034,1260.479980,1260.479980,47531600
2020-05-04,1254.880005,1263.969971,1234.010010,1263.969971,1263.969971,47231400
2020-05-05,1271.219971,1302.449951,1269.989990,1273.510010,1273.510010,51295900
2020-05-06,1278.900024,1284.920044,1262.560059,1263.010010,1263.010010,48619200
2020-05-07,1268.349976,1290.920044,1268.349976,1282.930054,1282.930054,51646400
2020-05-08,1294.280029,1330.109985,1294.280029,1329.640015,1329.640015,48571600
2020-05-11,1320.369995,1333.849976,1303.530029,1321.239990,1321.239990,48073200
2020-05-12,1322.670044,1326.890015,1275.540039,1275.540039,1275.540039,51077100
2020-05-13,1272.900024,1272.900024,1212.750000,1233.250000,1233.250000,61431300
2020-05-14,1226.660034,1237.560059,1181.089966,1237.550049,1237.550049,56419200
2020-05-15,1236.250000,1259.280029,1225.550049,1256.989990,1256.989990,54770400
2020-05-18,1290.900024,1338.349976,1290.900024,1333.689941,1333.689941,63642900
2020-05-19,1330.272705,1333.780640,1318.886475,1333.251831,1333.251831,0
